book,title,author,genre,num_pages
351,Lords of the White Castle,Elizabeth Chadwick,Fiction,624.0
352,The Christmas Shoes,Donna VanLiere,Fiction,132.0
353,The Little Princesses,Marion Crawford,Biography & Autobiography,230.0
354,Dominion,Matthew Scully,Nature,448.0
355,A Woman of Substance,Barbara Taylor Bradford,Fiction,928.0
356,Middlesex,Jeffrey Eugenides,Fiction,529.0
357,The Interpreter,Suki Kim,Fiction,304.0
358,Mason & Dixon,Thomas Pynchon,Fiction,773.0
359,Call It Sleep,Henry Roth,Fiction,462.0
360,Small Island,Andrea Levy,Fiction,441.0
361,Collected Prose,Paul Auster,Literary Collections,528.0
362,The Humanoids,Jack Williamson,Fiction,299.0
363,The Land of Laughs,Jonathan Carroll,Fiction,256.0
364,The Fantasies of Robert A. Heinlein,Robert A. Heinlein,Fiction,342.0
365,The Circle,David Poyer,Fiction,543.0
366,The Damned,L. A. Banks,Fiction,492.0
367,A Quiver Full of Arrows,Jeffrey Archer,Fiction,288.0
368,The Hunted,L. A. Banks,Fiction,565.0
369,All Creatures Great and Small,James Herriot,Biography & Autobiography,437.0
370,The Lord God Made Them All,James Herriot,Biography & Autobiography,373.0
371,Warlock,Wilbur Smith,Fiction,642.0
372,Crooked House,Agatha Christie,Fiction,276.0
373,The Sigma Protocol,Robert Ludlum,Fiction,662.0
374,Full Blast,Janet Evanovich;Charlotte Hughes,Fiction,344.0
375,Hard Eight,Janet Evanovich,Bail bond agents,339.0
376,The Janson Directive,Robert Ludlum,Fiction,693.0
377,SantaKid,James Patterson,Juvenile Fiction,48.0
378,The Truth of the Matter,Robb Forman Dew,Fiction,352.0
379,Twilight,Stephenie Meyer,Young Adult Fiction,498.0
380,Mythology,Alex Ross,Art,320.0
381,The Black Veil,Rick Moody,Family & Relationships,336.0
382,Don't Stop the Carnival,Herman Wouk,Fiction,416.0
383,Andrew Carnegie and the Rise of Big Business,Harold C. Livesay,Biography & Autobiography,230.0
384,The Little Prince,Antoine de Saint-Exupéry;Katherine Woods,"Children's literature, French",96.0
385,A Gift of Wings,Richard Bach,Air pilots,299.0
386,Paper Money,Ken Follett,Conspiracies,286.0
387,Them,Joyce Carol Oates,Fiction,576.0
388,Under the Banner of Heaven,Jon Krakauer,History,399.0
389,Chasing the Monsoon,Alexander Frater,India,273.0
390,Blackout,John J. Nance,Bombings,672.0
391,A Bend in the River,V. S. Naipaul,Fiction,326.0
392,Ragtime,E. L. Doctorow,New York (State),369.0
393,From Russia with Love,Ian Fleming,Adventure stories,208.0
394,Casino Royale,Ian Fleming,"Bond, James (Fictitious character)",188.0
395,Escape,James Clavell,Fiction,584.0
396,Whirlwind,James Clavell,Fiction,1231.0
397,Five Go Adventuring Again,Enid Blyton,Children's stories,246.0
398,Stranger in a Strange Land,Robert A. Heinlein,Science fiction,672.0
399,The Secret Seven,Enid Blyton,Adventure fiction,144.0
400,Tales of the Cthulhu Mythos,H. P. Lovecraft,Fiction,462.0
401,Story of O,Pauline Réage,Fiction,199.0
402,With Friends Like These,Alan Dean Foster,Fiction,236.0
403,The Tolkien Reader,J. R. R. Tolkien,Fiction,272.0
404,The Proud Highway,Hunter S. Thompson,Biography & Autobiography,720.0
405,The Battle for God,Karen Armstrong,Religion,480.0
406,Twister,Michael Crichton;Anne-Marie Martin,Motion picture plays,182.0
407,Friday,Robert Anson Heinlein,Fiction,384.0
408,The Princess Bride,William Goldman,Fiction,398.0
